10010-1,Assorted Yellow Bricks,2003,254,63,https://m.rebrickable.com/media/sets/10010-1.jpg,https://rebrickable.com/sets/10010-1/assorted-yellow-bricks/
10011-1,Assorted Blue Plates,2001,254,42,https://m.rebrickable.com/media/sets/10011-1.jpg,https://rebrickable.com/sets/10011-1/assorted-blue-plates/
10012-1,Assorted Yellow Plates,2001,254,42,https://m.rebrickable.com/media/sets/10012-1.jpg,https://rebrickable.com/sets/10012-1/assorted-yellow-plates/
10013-1,Open Freight Wagon,2001,238,121,https://m.rebrickable.com/media/sets/10013-1.jpg,https://rebrickable.com/sets/10013-1/open-freight-wagon/
10014-1,Caboose,2001,238,170,https://m.rebrickable.com/media/sets/10014-1.jpg,https://rebrickable.com/sets/10014-1/caboose/
10015-1,Passenger Wagon,2001,238,194,https://m.rebrickable.com/media/sets/10015-1.jpg,https://rebrickable.com/sets/10015-1/passenger-wagon/
10016-1,Tanker,2001,238,128,https://m.rebrickable.com/media/sets/10016-1.jpg,https://rebrickable.com/sets/10016-1/tanker/
10017-1,Hopper Wagon,2001,238,228,https://m.rebrickable.com/media/sets/10017-1.jpg,https://rebrickable.com/sets/10017-1/hopper-wagon/
10018-1,Darth Maul,2001,158,1868,https://m.rebrickable.com/media/sets/10018-1.jpg,https://rebrickable.com/sets/10018-1/darth-maul/
10019-1,Rebel Blockade Runner - UCS,2001,174,1747,https://m.rebrickable.com/media/sets/10019-1.jpg,https://rebrickable.com/sets/10019-1/rebel-blockade-runner-ucs/
100-2,4.5V Motor with Wheels (Large Version),1966,243,27,https://m.rebrickable.com/media/sets/100-2.jpg,https://rebrickable.com/sets/100-2/45v-motor-with-wheels-large-version/
10020-1,Santa Fe Super Chief, NOT the Limited Edition,2002,236,427,https://m.rebrickable.com/media/sets/10020-1.jpg,https://rebrickable.com/sets/10020-1/santa-fe-super-chief-not-the-limited-edition/
10020-2,Santa Fe Super Chief, Limited Edition,2002,236,433,https://m.rebrickable.com/media/sets/10020-2.jpg,https://rebrickable.com/sets/10020-2/santa-fe-super-chief-limited-edition/
10021-1,U.S.S. Constellation,2003,404,974,https://m.rebrickable.com/media/sets/10021-1.jpg,https://rebrickable.com/sets/10021-1/uss-constellation/
10022-1,Santa Fe Cars - Set II (dining, observation, or sleeping car),2002,237,410,https://m.rebrickable.com/media/sets/10022-1.jpg,https://rebrickable.com/sets/10022-1/santa-fe-cars-set-ii-dining-observation-or-sleeping-car/
10023-1,Master Builder Set,2002,324,112,https://m.rebrickable.com/media/sets/10023-1.jpg,https://rebrickable.com/sets/10023-1/master-builder-set/
10024-1,Red Baron,2002,276,669,https://m.rebrickable.com/media/sets/10024-1.jpg,https://rebrickable.com/sets/10024-1/red-baron/
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325,https://m.rebrickable.com/media/sets/10025-1.jpg,https://rebrickable.com/sets/10025-1/santa-fe-cars-set-i-mail-or-baggage-car/
